YEAR,MONTH,mean_TMAX,mean_TMIN,mean_SNWD,max_SNWD,mean_PRCP,sum_PRCP,below_0_days,snowy_days,rainy_days,dry_days
1998,12,2.906451612903226,-1.9,24.516129032258064,110.0,1.1612903225806452,36.0,10,12,9,10
1999,1,5.541935483870968,0.06774193548387096,6.129032258064516,80.0,1.103225806451613,34.2,6,6,11,14
1999,2,3.9107142857142856,-1.6071428571428572,33.57142857142857,180.0,1.7642857142857142,49.4,4,17,11,0
1999,3,9.770967741935483,1.835483870967742,0.0,0.0,1.367741935483871,42.4,0,0,0,0
1999,4,15.643333333333334,5.443333333333333,0.0,0.0,1.0933333333333333,32.8,0,0,0,0
1999,5,20.193548387096776,8.52258064516129,0.0,0.0,1.4741935483870967,45.699999999999996,0,0,0,0
1999,6,21.666666666666668,11.360000000000001,0.0,0.0,1.54,46.2,0,0,0,0
1999,7,26.57741935483871,15.125806451612904,0.0,0.0,0.6612903225806451,20.5,0,0,0,0
1999,8,24.432258064516127,13.2,0.0,0.0,1.1451612903225807,35.5,0,0,0,0
1999,9,24.32,12.953333333333335,0.0,0.0,0.32000000000000006,9.600000000000001,0,0,0,0
1999,10,14.100000000000001,6.45483870967742,0.0,0.0,0.20967741935483872,6.5,0,0,0,0
1999,11,6.556666666666667,0.9766666666666666,9.666666666666666,60.0,0.76,22.8,0,0,0,0
1999,12,4.377419354838709,0.05161290322580644,7.741935483870968,60.0,1.9516129032258065,60.5,1,8,17,6
2000,1,3.4838709677419355,-1.6580645161290322,10.32258064516129,70.0,1.2999999999999998,40.3,7,7,13,11
2000,2,7.358620689655172,1.0724137931034483,1.3793103448275863,20.0,1.4379310344827587,41.7,0,3,20,6
2000,3,8.919354838709678,2.2548387096774194,0.6451612903225806,20.0,2.083870967741935,64.6,0,0,0,0
2000,4,17.7,5.833333333333333,0.0,0.0,1.2433333333333332,37.3,0,0,0,0
2000,5,22.651612903225807,10.264516129032257,0.0,0.0,1.432258064516129,44.4,0,0,0,0
2000,6,23.98,12.55,0.0,0.0,0.9833333333333333,29.5,0,0,0,0
2000,7,21.093548387096774,12.703225806451613,0.0,0.0,1.3193548387096774,40.9,0,0,0,0
